FECHA;EVENTO;LUGAR;MODALIDAD / FORMATO;APERTURA;CIERRE;AFORO;BARRIO;AÑO;MES
2/1/2024;Noche de Concierto- Juegos Macabeos;Templo Libertad;Recital;2/1/2024 19:00;2/1/2024 22:00;10.954;SAN NICOLÁS;2024;1
3/1/2024;Paseo Gastronómico;Campo Argentino de Polo;Recital;3/1/2024 00:00;4/1/2024 03:00;990;PALERMO;2024;1
4/1/2024;Paseo Gastronómico;Campo Argentino de Polo;Paseo;4/1/2024 00:00;5/1/2024 03:00;990;PALERMO;2024;1
4/1/2024;Ceremonia de Clausura - Juego Macabeos;Templo Libertad;Acto;4/1/2024 19:00;5/1/2024 00:00;10.954;SAN NICOLÁS;2024;1
5/1/2024;Paseo Gastronómico;Campo Argentino de Polo;Paseo;5/1/2024 12:00;5/1/2024 18:00;990;PALERMO;2024;1
5/1/2024;David Guetta;Movistar Arena;DJ SET;5/1/2024 19:00;6/1/2024 02:30;14.507;VILLA CRESPO;2024;1
5/1/2024;Carrera 1/4 de Milla;Autódromo de la Ciudad de Buenos Aires;Carrera;5/1/2024 20:00;7/1/2024 04:30;5.000;VILLA RIACHUELO;2024;1
6/1/2024;Paseo Gastronómico;Campo Argentino de Polo;Paseo;6/1/2024 12:00;6/1/2024 18:00;990;PALERMO;2024;1
6/1/2024;Carrera Midget;Autódromo de la Ciudad de Buenos Aires;Carrera;6/1/2024 18:00;7/1/2024 02:00;1.000;VILLA RIACHUELO;2024;1
6/1/2024;David Guetta;Movistar Arena;DJ SET;6/1/2024 19:00;7/1/2024 02:30;14.507;VILLA CRESPO;2024;1
7/1/2024;Paseo Gastronómico;Campo Argentino de Polo;Paseo;7/1/2024 12:00;7/1/2024 15:00;990;PALERMO;2024;1
7/1/2024;Shows DJ - Fiesta Bresh;GEBA - Jorge Newbery;Fiesta;7/1/2024 00:30;8/1/2024 06:30;7.999;PALERMO;2024;1
10/1/2024;Paseo Gastronómico;Campo Argentino de Polo;Paseo;10/1/2024 12:00;10/1/2024 15:00;990;PALERMO;2024;1
11/1/2024;Paseo Gastronómico;Campo Argentino de Polo;Paseo;11/1/2024 12:00;11/1/2024 15:00;990;PALERMO;2024;1
12/1/2024;Paseo Gastronómico;Campo Argentino de Polo;Paseo;12/1/2024 12:00;12/1/2024 18:00;990;PALERMO;2024;1
12/1/2024;Carrera 1/4 de Milla;Autódromo de la Ciudad de Buenos Aires;Carrera;12/1/2024 20:30;13/1/2024 04:30;1.000;VILLA RIACHUELO;2024;1
13/1/2024;Paseo Gastronómico;Campo Argentino de Polo;Paseo;13/1/2024 12:00;13/1/2024 18:00;990;PALERMO;2024;1
14/1/2024;Paseo Gastronómico;Campo Argentino de Polo;Paseo;14/1/2024 12:00;14/1/2024 15:00;990;PALERMO;2024;1
14/1/2024;Shows DJ - Fiesta Bresh;GEBA - Jorge Newbery;Fiesta;14/1/2024 00:30;15/1/2024 06:30;7.999;PALERMO;2024;1
17/1/2024;Paseo Gastronómico;Campo Argentino de Polo;Paseo;17/1/2024 12:00;17/1/2024 15:00;990;PALERMO;2024;1
17/1/2024;Acción de concientización Kfir Bibas;Parque Centenario;Acto;17/1/2024 14:00;17/1/2024 20:00;990;CABALLITO;2024;1
17/1/2024;Aven un lugar sin piso - Fuerza Bruta;GEBA - Roel Mora;Espectáculo;17/1/2024 20:00;17/1/2024 22:30;999;PALERMO;2024;1
18/1/2024;Verano BA: BA PLAYA;Parque de la Ciudad;Jornada;18/1/2024 10:00;18/1/2024 20:00;5.000;VILLA SOLDATI;2024;1
18/1/2024;Paseo Gastronómico;Campo Argentino de Polo;Paseo;18/1/2024 12:00;18/1/2024 15:00;990;PALERMO;2024;1
18/1/2024;Homenaje a Fernando Baez Sosa;Facultad de Derecho de la UBA;Acto;18/1/2024 18:00;18/1/2024 21:00;1.000;RECOLETA;2024;1
18/1/2024;Verano BA: BA PLAYA;Parque de los Niños;Jornada;18/1/2024 10:00;18/1/2024 20:00;4.990;NUÑEZ;2024;1
18/1/2024;Aven un lugar sin piso - Fuerza Bruta;GEBA - Roel Mora;Espectáculo;18/1/2024 20:00;19/1/2024 03:00;999;PALERMO;2024;1
19/1/2024;Paseo Gastronómico;Campo Argentino de Polo;Paseo;19/1/2024 12:00;19/1/2024 18:00;990;PALERMO;2024;1
19/1/2024;Cumbia Konex;Centro Cultural Konex;Recital;19/1/2024 23:30;20/1/2024 06:00;2.350;BALVANERA;2024;1
19/1/2024;Aven un lugar sin piso - Fuerza Bruta;GEBA - Roel Mora;Espectáculo;19/1/2024 18:00;19/1/2024 20:15;999;PALERMO;2024;1
19/1/2024;Divididos;Obras Sanitarias de la Nación - Indoors;Recital;19/1/2024 19:00;20/1/2024 01:00;4.980;NUÑEZ;2024;1
20/1/2024;Verano BA: BA PLAYA;Parque de la Ciudad;Jornada;20/1/2024 10:00;20/1/2024 20:00;5.000;VILLA SOLDATI;2024;1
20/1/2024;Paseo Gastronómico;Campo Argentino de Polo;Paseo;20/1/2024 12:00;20/1/2024 18:00;990;PALERMO;2024;1
20/1/2024;La Mágica;C Complejo Art Media;Recital;20/1/2024 23:00;21/1/2024 06:00;4.500;CHACARITA;2024;1
20/1/2024;Verano BA: BA PLAYA;Parque de los Niños;Jornada;20/1/2024 10:00;20/1/2024 20:00;5.000;NUÑEZ;2024;1
20/1/2024;Aven un lugar sin piso - Fuerza Bruta;GEBA - Roel Mora;Espectáculo;20/1/2024 18:00;20/1/2024 20:15;999;PALERMO;2024;1
20/1/2024;Divididos;Obras Sanitarias de la Nación - Indoors;Recital;20/1/2024 19:00;21/1/2024 01:00;4.980;NUÑEZ;2024;1
21/1/2024;Verano BA: BA PLAYA;Parque de la Ciudad;Jornada;21/1/2024 10:00;21/1/2024 21:00;10.000;VILLA SOLDATI;2024;1
21/1/2024;Paseo Gastronómico;Campo Argentino de Polo;Paseo;21/1/2024 12:00;21/1/2024 15:00;990;PALERMO;2024;1
21/1/2024;Shows DJ - Fiesta Bresh;GEBA - Jorge Newbery;Fiesta;21/1/2024 00:30;22/1/2024 06:30;7.999;PALERMO;2024;1
21/1/2024;Verano BA: BA PLAYA;Parque de los Niños;Jornada;21/1/2024 10:00;21/1/2024 21:00;10.000;NUÑEZ;2024;1
21/1/2024;Aven un lugar sin piso - Fuerza Bruta;GEBA - Roel Mora;Espectáculo;21/1/2024 18:00;21/1/2024 20:30;999;PALERMO;2024;1
22/1/2024;Nick Carter;C Complejo Art Media;Recital;22/1/2024 19:00;23/1/2024 01:00;4.500;CHACARITA;2024;1
23/1/2024;Verano BA: BA PLAYA;Parque de la Ciudad;Jornada;23/1/2024 10:00;23/1/2024 20:00;5.000;VILLA SOLDATI;2024;1
23/1/2024;Verano BA: BA PLAYA;Parque de los Niños;Jornada;23/1/2024 10:00;23/1/2024 20:00;5.000;NUÑEZ;2024;1
24/1/2024;Verano BA: BA PLAYA;Parque de la Ciudad;Jornada;24/1/2024 10:00;24/1/2024 20:00;5.000;VILLA SOLDATI;2024;1
24/1/2024;Paseo Gastronómico;Campo Argentino de Polo;Paseo;24/1/2024 12:00;25/1/2024 15:00;990;PALERMO;2024;1
24/1/2024;Verano BA: BA PLAYA;Parque de los Niños;Jornada;24/1/2024 10:00;24/1/2024 20:00;5.000;NUÑEZ;2024;1
24/1/2024;Aven un lugar sin piso - Fuerza Bruta;GEBA - Roel Mora;Espectáculo;24/1/2024 20:00;24/1/2024 22:30;999;PALERMO;2024;1
25/1/2024;Verano BA: BA PLAYA;Parque de la Ciudad;Jornada;25/1/2024 10:00;25/1/2024 20:00;5.000;VILLA SOLDATI;2024;1
